Area,Region,Market,Zip, pct College Degree or more,pct Asian, pct AA, pct Hispanic,pct Hispanic & AA, Hispanic & AA Pops, $ Median HH Income, Total Households, Total Pops, Avg HH Size
East,Northeast,Boston,1901,23.8,3.7,19.7,39.3,59,1360,15261,1378,2305,1.7
East,Northeast,Boston,1902,17,8.4,19,45.3,64.3,30296,41705,17167,47117,2.7
East,Northeast,Boston,1905,15.8,12.3,15.2,41.7,56.9,15331,48855,9083,26943,3
East,Northeast,Boston,1906,25.6,3.4,2.6,5.4,8,2186,79124,10641,27321,2.6
East,Northeast,Boston,1915,42.2,2.1,2,4.9,6.9,2809,76693,16388,40710,2.5
East,Northeast,Boston,1923,37.8,2.4,1.4,3.2,4.6,1287,85221,11263,27983,2.5
East,Northeast,Boston,1930,34,1,1,3.7,4.7,1400,68798,13082,29783,2.3
East,Northeast,Boston,1960,28.3,2.3,2.9,8.8,11.7,6124,68847,21910,52342,2.4
East,Northeast,Boston,1970,38.1,3.3,6.3,20.8,27.1,11605,63651,18533,42823,2.3
East,Northeast,Boston,2019,31.9,3.8,1.6,3.4,5,847,87055,6402,16936,2.6
East,Northeast,Boston,2026,40,3,6.5,7.5,14,3562,90531,9992,25442,2.5
East,Northeast,Boston,2032,45.5,5.7,1.8,2.7,4.5,207,98496,1691,4606,2.7
East,Northeast,Boston,2035,42.5,4,2.2,2.4,4.6,815,103035,6826,17707,2.6
East,Northeast,Boston,2048,46.7,4.5,3.5,2.6,6.1,1439,99950,8546,23590,2.8
East,Northeast,Boston,2062,42.6,7.2,6.2,5.8,12,3507,78877,12245,29229,2.4
East,Northeast,Boston,2072,29.2,4.3,13.1,4.2,17.3,4968,74923,10981,28719,2.6
East,Northeast,Boston,2108,71.6,5.3,3.7,4.8,8.5,380,114364,2329,4471,1.9
East,Northeast,Boston,2111,48.8,46.2,5.1,4.8,9.9,898,57065,3987,9074,2.3
East,Northeast,Boston,2118,47.1,17,20.2,21.1,41.3,12323,59555,13954,29838,2.1
East,Northeast,Boston,2119,23.2,1.6,56.3,33.6,89.9,24442,36202,10769,27188,2.5
East,Northeast,Boston,2120,31.9,11.2,23.7,24.1,47.8,9144,34042,6317,19129,3
East,Northeast,Boston,2121,13.7,0.7,67.2,31.6,98.8,28087,31945,10596,28428,2.7
East,Northeast,Boston,2122,23.2,18.3,27.8,14,41.8,10377,57196,8817,24825,2.8
East,Northeast,Boston,2124,22,6.9,57.5,18.3,75.8,39396,49277,18909,51974,2.7
East,Northeast,Boston,2125,27.6,11.6,29.2,21.7,50.9,18163,50153,12943,35684,2.8
East,Northeast,Boston,2126,16.4,1.1,81.2,14,95.2,21747,51919,8554,22843,2.7
East,Northeast,Boston,2127,47.2,5.1,6.7,11.3,18,6680,76617,17673,37110,2.1
East,Northeast,Boston,2128,19.1,3.6,4.6,58.3,62.9,28035,50076,16061,44570,2.8
East,Northeast,Boston,2129,55.2,8.8,5.8,10.7,16.5,2980,102713,8874,18058,2
East,Northeast,Boston,2130,55.4,5.6,14.8,25.5,40.3,15218,77419,16193,37763,2.3
East,Northeast,Boston,2131,39.6,2.7,24.5,29.2,53.7,17274,69947,12417,32167,2.6
East,Northeast,Boston,2134,53.4,19.2,5.3,14.6,19.9,4743,50642,10173,23832,2.3
East,Northeast,Boston,2135,57,14.2,5.5,10.2,15.7,7806,63904,21849,49718,2.3
East,Northeast,Boston,2136,27.3,1.6,51.5,23.6,75.1,26778,60781,13002,35657,2.7
East,Northeast,Boston,2139,66.9,19.9,15.9,10.5,26.4,10146,81762,15497,38430,2.5
East,Northeast,Boston,2143,54.7,13.2,5.7,9.6,15.3,4029,74134,12210,26335,2.2
East,Northeast,Boston,2145,36,10.4,11,23.8,34.8,9368,62527,10460,26919,2.6
East,Northeast,Boston,2148,31.1,24.3,17,10.5,27.5,17250,59651,24972,62729,2.5
East,Northeast,Boston,2149,17.8,5.6,16.3,26.8,43.1,18864,56610,16224,43768,2.7
East,Northeast,Boston,2150,13.2,3.2,8.5,67.2,75.7,30294,44364,13318,40019,3
East,Northeast,Boston,2151,18.2,5.9,5.3,28.3,33.6,18937,54800,22260,56361,2.5
East,Northeast,Boston,2155,41,9,10,5.5,15.5,9208,73302,23971,59407,2.5
East,Northeast,Boston,2169,37.7,22.4,7.2,5.4,12.6,7252,63283,26182,57555,2.2
East,Northeast,Boston,2170,38.6,40.3,2.6,2.9,5.5,1084,73282,7784,19711,2.5
East,Northeast,Boston,2184,33.7,9.5,3.1,3.2,6.3,2323,88635,14150,36867,2.6
East,Northeast,Boston,2189,28.3,3.4,5.3,4.6,9.9,1499,63730,6220,15143,2.4
East,Northeast,Boston,2190,34.7,4.3,2,2.4,4.4,722,81276,6638,16398,2.5
East,Northeast,Boston,2191,29.7,3.1,1.1,3.4,4.5,379,71160,3622,8412,2.3
East,Northeast,Boston,2301,18.3,3.2,35.8,12.7,48.5,30678,45591,22788,63253,2.8
East,Northeast,Boston,2302,17.9,2.1,32,12.4,44.4,15044,59374,11570,33884,2.9
East,Northeast,Boston,2339,41.7,1.4,1,1.1,2.1,299,108953,4883,14251,2.9
East,Northeast,Boston,2346,24.4,0.9,2,2,4,946,72179,8724,23661,2.7
East,Northeast,Boston,2351,27,2.3,2.8,2.4,5.2,857,80566,6309,16474,2.6
East,Northeast,Boston,2358,0,0,0,0,0, -   , -   , -   , -   ,0
East,Northeast,Boston,2360,32.5,1.1,2.7,2.3,5,2929,78226,22157,58573,2.6
East,Northeast,Boston,2364,36.6,1,1.3,1.3,2.6,337,86131,4828,12944,2.7
